hour,day,num_users,karma_diff,post_ID
15,6,148,2,88udv2
15,6,148,1,88udur
18,6,190,1,88v7j2
17,6,190,2,88v2p8
20,6,186,-1,88w0ar
22,6,156,2,88wtzv
22,6,156,-2,88wqxk
2,0,85,-1,88xqgj
1,0,85,10,88xm91
2,0,75,3,88xw5j
5,0,111,0,88yh9c
10,0,135,40,890i6a
9,0,135,0,890e7q
10,0,157,1,89183h
11,0,149,4,891mq2
11,0,149,0,891m7i
12,0,154,0,8934qi
12,0,154,0,892w18
12,0,154,8,892ue7
13,0,175,0,893xbk
14,0,202,1,894q72
15,0,169,0,895lsy
17,0,160,2,896508
16,0,160,0,895zzy
16,0,160,45,895x0f
17,0,143,0,896bta
19,0,177,0,897dju
21,0,130,3,8990mn
2,1,75,0,89bfdq
3,1,74,-1,89c18f
3,1,74,3,89bwqv
5,1,87,5,89crtp
7,1,164,1,89dp4t
9,1,145,31,89eqx2
8,1,145,1,89eknj
10,1,152,1,89fbju
9,1,152,0,89eybg
11,1,137,12,89g0gy
10,1,137,4,89folb
12,1,149,1,89glni
11,1,149,3,89gcnu
13,1,122,0,89humb
13,1,122,6,89hqnf
15,1,158,2,89iq5c
15,1,140,21,89j00v
15,1,140,0,89ixk0
15,1,140,0,89iqeq
17,1,170,12,89jr69
16,1,170,1,89jewt
18,1,201,1,89kexy
20,1,208,23,89ldn4
0,2,110,3,89n2mg
2,2,69,4,89nr0w
8,2,160,-1,89q6pa
8,2,160,14,89q2a2
11,2,161,11,89rlz0
13,2,179,2,89si00
14,2,1037,15,89syym
13,2,1037,1,89snwg
18,2,126,4,89v4v4
20,2,134,117,89w89y
21,2,186,-1,89wkws
21,2,186,0,89wdj7
22,2,125,1,89wyr9
22,2,125,-2,89wy8y
22,2,125,2,89wuey
4,3,103,1,89yndv
4,3,103,1,89yk55
6,3,113,0,89z7l6
9,3,171,0,8a0vuv
9,3,171,6,8a0naq
11,3,176,11,8a1mhg
13,3,130,1,8a2hzp
12,3,130,9,8a27fa
13,3,996,4,8a2xpq
14,3,155,0,8a3g2c
14,3,155,8,8a3fn4
16,3,163,17,8a406n
15,3,163,28,8a3pxv
18,3,152,0,8a57ir
18,3,152,3,8a55kf
21,3,141,0,8a69i1
22,3,151,-1,8a6j21
3,4,105,28,8a891w
5,4,144,0,8a8wxh
6,4,129,0,8a99ei
8,4,146,4,8a9u9l
8,4,160,24,8aa426
11,4,162,-1,8abbqo
12,4,164,1,8abr1g
11,4,164,7,8abnjs
11,4,164,8,8abl8h
11,4,164,7,8abhv7
11,4,164,0,8abfy6
15,4,157,8,8ad5ij
15,4,119,-1,8adgxh
20,4,171,62,8af6v8
22,4,127,2,8afwz7
22,4,127,1,8afwsu
0,5,107,11,8agbxm
1,5,128,1,8agh72
6,5,115,1,8ahuy3
6,5,115,1,8ahrtp
7,5,144,0,8ai71u
10,5,165,24,8aj4s4
9,5,165,17,8aisks
11,5,174,-1,8ajf7z
13,5,140,-1,8ak92y
14,5,188,-1,8ako9t
13,5,188,11,8akivj
14,5,145,0,8akyjt
17,5,128,9,8alzrw
19,5,156,0,8amngo
20,5,178,7,8an2ki
22,5,142,1,8anpdi
21,5,142,12,8ank7m
9,6,147,7,8aqgua
11,6,189,20,8arfbi
13,6,169,25,8ascbx
16,6,170,4,8atg3a
16,6,170,0,8atfgy
17,6,160,99,8au0wm
17,6,160,0,8atyo1
22,6,153,2,8avojk
1,0,185,2,8awoqt
0,0,185,-1,8awgi4
3,0,74,2,8ax3c5
2,0,74,63,8ax0vs
3,0,81,5,8ax92g
6,0,125,0,8ay0db
7,0,199,4,8ayd90
8,0,193,0,8ayppn
7,0,193,0,8ayhr9
9,0,220,0,8aza1x
8,0,220,87,8az19t
10,0,207,0,8azqpv
10,0,217,0,8azwm4
11,0,220,0,8b0gtz
13,0,162,-1,8b16ad
13,0,162,0,8b160y
12,0,162,0,8b0wtk
14,0,582,4,8b1qs8
15,0,165,-1,8b26ld
16,0,193,0,8b2jk4
16,0,191,0,8b2qwh
18,0,177,0,8b3b6w
18,0,177,1,8b39fw
19,0,216,-1,8b3rsq
18,0,216,-1,8b3inr
