hour,day,num_users,karma_dif,post_ID
14,6,57,8,88tpln
20,6,64,14,88w8wr
22,6,62,20,88wsd5
22,6,62,26,88wpxu
23,6,66,-3,88x669
8,0,55,20,88zkl6
10,0,52,14,890h4o
13,0,37,24,893xr3
16,0,65,6,895ygv
16,0,65,26,895u6q
17,0,51,0,896k2m
18,0,79,0,896q8p
0,1,654,32,89avoe
17,1,51,30,89k59b
1,2,299,21,89nbrz
4,2,46,0,89ogbe
6,2,51,7,89otfe
6,2,48,78,89p27g
11,2,68,-1,89rq1j
13,2,47,-3,89si6z
17,2,39,29,89usch
18,2,45,5,89vaj2
22,2,75,38,89wpv6
23,2,65,34,89x8k2
9,3,74,-4,8a0gt2
11,3,48,4,8a1sr4
15,3,50,40,8a3x1d
18,3,42,14,8a50um
23,3,38,20,8a6zxl
14,4,46,24,8aclr6
17,4,61,54,8ae1p3
19,4,50,54,8aenre
22,4,48,0,8afmwl
11,5,49,11,8ajjft
21,5,47,20,8anais
21,5,41,0,8anlim
22,5,45,-2,8anucu
14,6,50,31,8ass2k
13,6,50,5,8ashey
20,6,51,5,8av91t
22,6,55,-1,8avoa1
21,6,55,29,8avmcm
4,0,46,22,8axcv1
19,0,50,47,8b3r4q
