hour,day,num_users,karma_diff,post_ID
20,6,86,39,88w4h2
20,6,86,0,88w1ho
8,0,90,17,88zjaw
8,0,91,36,88zsqq
8,0,91,0,88zr6g
12,0,83,-1,892lvm
11,0,83,-1,892diq
15,0,86,7,895dt5
15,0,80,0,895k6q
4,1,50,80,89cdpe
6,1,83,1,89d8x6
9,1,147,-2,89f4yz
11,1,124,-1,89g6z0
22,1,72,0,89m86p
4,2,55,14,89oe62
8,2,53,20,89pqz2
9,2,44,9,89qctl
16,2,73,1,89ucyc
18,2,59,-1,89v22d
20,2,100,0,89vyvu
21,2,57,19,89whyc
23,2,58,18,89x7fz
0,3,52,0,89xl8u
9,3,65,43,8a0kfi
11,3,60,3,8a1kha
14,3,70,-1,8a35h3
20,3,63,1,8a5us2
1,4,65,3,8a7puh
6,4,79,11,8a8x22
7,4,82,0,8a9cpb
8,4,92,6,8a9rp2
7,4,92,-3,8a9m85
9,4,95,2,8aac3y
13,4,121,51,8aci7x
19,4,72,1,8aew4f
0,5,76,44,8ag9g6
23,4,76,6,8ag2by
3,5,51,61,8ah23x
9,5,117,6,8aiugv
9,5,117,8,8airvn
1,6,61,9,8aoiwx
2,6,58,24,8aotk3
14,6,63,34,8asoni
8,0,49,3,8aynm2
12,0,71,11,8b0z39
16,0,46,5,8b2hpo
