day,hour,num_users,karma
0.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0
0.0,2.0,1.0,0.0
0.0,3.0,1.0,0.0
0.0,4.0,46.0,22.0
0.0,5.0,1.0,0.0
0.0,6.0,1.0,0.0
0.0,7.0,1.0,0.0
0.0,8.0,55.0,20.0
0.0,9.0,1.0,0.0
0.0,10.0,52.0,14.0
0.0,11.0,1.0,0.0
0.0,12.0,1.0,0.0
0.0,13.0,37.0,24.0
0.0,14.0,1.0,0.0
0.0,15.0,1.0,0.0
0.0,16.0,65.0,16.0
0.0,17.0,51.0,0.0
0.0,18.0,79.0,0.0
0.0,19.0,50.0,47.0
0.0,20.0,1.0,0.0
0.0,21.0,1.0,0.0
0.0,22.0,1.0,0.0
0.0,23.0,1.0,0.0
1.0,0.0,654.0,32.0
1.0,1.0,1.0,0.0
1.0,2.0,1.0,0.0
1.0,3.0,1.0,0.0
1.0,4.0,1.0,0.0
1.0,5.0,1.0,0.0
1.0,6.0,1.0,0.0
1.0,7.0,1.0,0.0
1.0,8.0,1.0,0.0
1.0,9.0,1.0,0.0
1.0,10.0,1.0,0.0
1.0,11.0,1.0,0.0
1.0,12.0,1.0,0.0
1.0,13.0,1.0,0.0
1.0,14.0,1.0,0.0
1.0,15.0,1.0,0.0
1.0,16.0,1.0,0.0
1.0,17.0,51.0,30.0
1.0,18.0,1.0,0.0
1.0,19.0,1.0,0.0
1.0,20.0,1.0,0.0
1.0,21.0,1.0,0.0
1.0,22.0,1.0,0.0
1.0,23.0,1.0,0.0
2.0,0.0,1.0,0.0
2.0,1.0,299.0,21.0
2.0,2.0,1.0,0.0
2.0,3.0,1.0,0.0
2.0,4.0,46.0,0.0
2.0,5.0,1.0,0.0
2.0,6.0,49.5,42.5
2.0,7.0,1.0,0.0
2.0,8.0,1.0,0.0
2.0,9.0,1.0,0.0
2.0,10.0,1.0,0.0
2.0,11.0,68.0,-1.0
2.0,12.0,1.0,0.0
2.0,13.0,47.0,-3.0
2.0,14.0,1.0,0.0
2.0,15.0,1.0,0.0
2.0,16.0,1.0,0.0
2.0,17.0,39.0,29.0
2.0,18.0,45.0,5.0
2.0,19.0,1.0,0.0
2.0,20.0,1.0,0.0
2.0,21.0,1.0,0.0
2.0,22.0,75.0,38.0
2.0,23.0,65.0,34.0
3.0,0.0,1.0,0.0
3.0,1.0,1.0,0.0
3.0,2.0,1.0,0.0
3.0,3.0,1.0,0.0
3.0,4.0,1.0,0.0
3.0,5.0,1.0,0.0
3.0,6.0,1.0,0.0
3.0,7.0,1.0,0.0
3.0,8.0,1.0,0.0
3.0,9.0,74.0,-4.0
3.0,10.0,1.0,0.0
3.0,11.0,48.0,4.0
3.0,12.0,1.0,0.0
3.0,13.0,1.0,0.0
3.0,14.0,1.0,0.0
3.0,15.0,50.0,40.0
3.0,16.0,1.0,0.0
3.0,17.0,1.0,0.0
3.0,18.0,42.0,14.0
3.0,19.0,1.0,0.0
3.0,20.0,1.0,0.0
3.0,21.0,1.0,0.0
3.0,22.0,1.0,0.0
3.0,23.0,38.0,20.0
4.0,0.0,1.0,0.0
4.0,1.0,1.0,0.0
4.0,2.0,1.0,0.0
4.0,3.0,1.0,0.0
4.0,4.0,1.0,0.0
4.0,5.0,1.0,0.0
4.0,6.0,1.0,0.0
4.0,7.0,1.0,0.0
4.0,8.0,1.0,0.0
4.0,9.0,1.0,0.0
4.0,10.0,1.0,0.0
4.0,11.0,1.0,0.0
4.0,12.0,1.0,0.0
4.0,13.0,1.0,0.0
4.0,14.0,46.0,24.0
4.0,15.0,1.0,0.0
4.0,16.0,1.0,0.0
4.0,17.0,61.0,54.0
4.0,18.0,1.0,0.0
4.0,19.0,50.0,54.0
4.0,20.0,1.0,0.0
4.0,21.0,1.0,0.0
4.0,22.0,48.0,0.0
4.0,23.0,1.0,0.0
5.0,0.0,1.0,0.0
5.0,1.0,1.0,0.0
5.0,2.0,1.0,0.0
5.0,3.0,1.0,0.0
5.0,4.0,1.0,0.0
5.0,5.0,1.0,0.0
5.0,6.0,1.0,0.0
5.0,7.0,1.0,0.0
5.0,8.0,1.0,0.0
5.0,9.0,1.0,0.0
5.0,10.0,1.0,0.0
5.0,11.0,49.0,11.0
5.0,12.0,1.0,0.0
5.0,13.0,1.0,0.0
5.0,14.0,1.0,0.0
5.0,15.0,1.0,0.0
5.0,16.0,1.0,0.0
5.0,17.0,1.0,0.0
5.0,18.0,1.0,0.0
5.0,19.0,1.0,0.0
5.0,20.0,1.0,0.0
5.0,21.0,44.0,10.0
5.0,22.0,45.0,-2.0
5.0,23.0,1.0,0.0
6.0,0.0,1.0,0.0
6.0,1.0,1.0,0.0
6.0,2.0,1.0,0.0
6.0,3.0,1.0,0.0
6.0,4.0,1.0,0.0
6.0,5.0,1.0,0.0
6.0,6.0,1.0,0.0
6.0,7.0,1.0,0.0
6.0,8.0,1.0,0.0
6.0,9.0,1.0,0.0
6.0,10.0,1.0,0.0
6.0,11.0,1.0,0.0
6.0,12.0,1.0,0.0
6.0,13.0,50.0,5.0
6.0,14.0,53.5,19.5
6.0,15.0,1.0,0.0
6.0,16.0,1.0,0.0
6.0,17.0,1.0,0.0
6.0,18.0,1.0,0.0
6.0,19.0,1.0,0.0
6.0,20.0,57.5,9.5
6.0,21.0,55.0,29.0
6.0,22.0,59.666666666666664,15.0
6.0,23.0,66.0,-3.0
