day,hour,num_users,karma
0.0,0.0,1.0,0.0
0.0,1.0,315.0,22.0
0.0,2.0,1.0,0.0
0.0,3.0,320.0,5.0
0.0,4.0,1.0,0.0
0.0,5.0,374.0,0.0
0.0,6.0,396.0,-1.0
0.0,7.0,477.0,52.5
0.0,8.0,428.0,43.0
0.0,9.0,436.0,4.0
0.0,10.0,468.0,1.3333333333333333
0.0,11.0,1.0,0.0
0.0,12.0,482.6,7.8
0.0,13.0,504.8333333333333,2.1666666666666665
0.0,14.0,503.5,-1.0
0.0,15.0,1.0,0.0
0.0,16.0,482.6666666666667,9.666666666666666
0.0,17.0,556.0,18.25
0.0,18.0,580.5,-0.5
0.0,19.0,1.0,0.0
0.0,20.0,493.0,9.0
0.0,21.0,455.0,-2.0
0.0,22.0,1.0,0.0
0.0,23.0,349.0,36.0
1.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0
1.0,2.0,291.0,18.0
1.0,3.0,1.0,0.0
1.0,4.0,1.0,0.0
1.0,5.0,376.0,-1.0
1.0,6.0,454.0,62.0
1.0,7.0,529.0,14.0
1.0,8.0,502.0,5.0
1.0,9.0,481.3333333333333,4.333333333333333
1.0,10.0,470.0,2.0
1.0,11.0,1.0,0.0
1.0,12.0,434.0,0.0
1.0,13.0,447.0,4.0
1.0,14.0,486.0,38.5
1.0,15.0,1158.6666666666667,2.0
1.0,16.0,535.0,0.0
1.0,17.0,535.0,64.0
1.0,18.0,504.0,0.5
1.0,19.0,1.0,0.0
1.0,20.0,466.0,2.0
1.0,21.0,1.0,0.0
1.0,22.0,367.0,13.0
1.0,23.0,1.0,0.0
2.0,0.0,1.0,0.0
2.0,1.0,1.0,0.0
2.0,2.0,1.0,0.0
2.0,3.0,1.0,0.0
2.0,4.0,329.0,54.0
2.0,5.0,1.0,0.0
2.0,6.0,442.0,6.0
2.0,7.0,1.0,0.0
2.0,8.0,1.0,0.0
2.0,9.0,468.0,-1.0
2.0,10.0,429.3333333333333,35.0
2.0,11.0,1.0,0.0
2.0,12.0,462.0,-1.0
2.0,13.0,1.0,0.0
2.0,14.0,462.0,7.5
2.0,15.0,404.0,-0.5
2.0,16.0,1.0,0.0
2.0,17.0,416.0,0.0
2.0,18.0,430.0,11.0
2.0,19.0,438.0,4.0
2.0,20.0,394.5,2.0
2.0,21.0,352.5,11.5
2.0,22.0,1.0,0.0
2.0,23.0,1.0,0.0
3.0,0.0,271.0,27.0
3.0,1.0,1.0,0.0
3.0,2.0,1.0,0.0
3.0,3.0,1.0,0.0
3.0,4.0,1.0,0.0
3.0,5.0,1.0,0.0
3.0,6.0,396.0,70.0
3.0,7.0,399.0,10.0
3.0,8.0,412.0,2.0
3.0,9.0,425.0,1.0
3.0,10.0,413.75,3.25
3.0,11.0,379.0,0.0
3.0,12.0,365.0,2.0
3.0,13.0,1.0,0.0
3.0,14.0,1.0,0.0
3.0,15.0,425.0,14.0
3.0,16.0,1.0,0.0
3.0,17.0,1.0,0.0
3.0,18.0,1.0,0.0
3.0,19.0,1.0,0.0
3.0,20.0,372.0,27.0
3.0,21.0,1.0,0.0
3.0,22.0,319.0,3.0
3.0,23.0,239.0,36.0
4.0,0.0,303.0,4.0
4.0,1.0,299.0,0.5
4.0,2.0,334.0,16.0
4.0,3.0,292.0,0.0
4.0,4.0,1.0,0.0
4.0,5.0,1.0,0.0
4.0,6.0,1.0,0.0
4.0,7.0,376.0,4.0
4.0,8.0,465.0,-1.0
4.0,9.0,486.0,24.25
4.0,10.0,493.0,4.0
4.0,11.0,468.5,28.5
4.0,12.0,504.0,5.0
4.0,13.0,471.0,0.0
4.0,14.0,1.0,0.0
4.0,15.0,1.0,0.0
4.0,16.0,497.0,0.0
4.0,17.0,1.0,0.0
4.0,18.0,1.0,0.0
4.0,19.0,509.0,0.0
4.0,20.0,392.0,23.0
4.0,21.0,1.0,0.0
4.0,22.0,319.0,7.5
4.0,23.0,273.0,0.0
5.0,0.0,298.5,8.0
5.0,1.0,358.0,-1.0
5.0,2.0,1.0,0.0
5.0,3.0,336.0,19.0
5.0,4.0,1.0,0.0
5.0,5.0,1.0,0.0
5.0,6.0,1.0,0.0
5.0,7.0,1.0,0.0
5.0,8.0,511.0,0.0
5.0,9.0,1.0,0.0
5.0,10.0,466.0,14.0
5.0,11.0,642.0,29.75
5.0,12.0,599.5,11.0
5.0,13.0,634.0,0.0
5.0,14.0,622.0,1.3333333333333333
5.0,15.0,652.0,-0.5
5.0,16.0,658.0,-1.5
5.0,17.0,644.0,-1.0
5.0,18.0,572.0,-2.0
5.0,19.0,1.0,0.0
5.0,20.0,550.0,3.0
5.0,21.0,1.0,0.0
5.0,22.0,1.0,0.0
5.0,23.0,399.0,11.0
6.0,0.0,1.0,0.0
6.0,1.0,1.0,0.0
6.0,2.0,394.0,39.0
6.0,3.0,1.0,0.0
6.0,4.0,376.0,12.0
6.0,5.0,1.0,0.0
6.0,6.0,532.0,8.0
6.0,7.0,1.0,0.0
6.0,8.0,599.0,-2.0
6.0,9.0,670.3333333333334,25.666666666666668
6.0,10.0,1.0,0.0
6.0,11.0,755.0,4.333333333333333
6.0,12.0,619.0,1.0
6.0,13.0,537.0,90.0
6.0,14.0,709.0,11.0
6.0,15.0,707.0,10.0
6.0,16.0,676.0,2.0
6.0,17.0,654.0,25.5
6.0,18.0,591.5,0.0
6.0,19.0,1.0,0.0
6.0,20.0,636.0,2.0
6.0,21.0,436.0,6.0
6.0,22.0,1.0,0.0
6.0,23.0,338.5,2.0
