day,hour,num_users,karma
0.0,0.0,185.0,-1.0
0.0,1.0,135.0,6.0
0.0,2.0,78.0,21.666666666666668
0.0,3.0,77.5,3.5
0.0,4.0,1.0,1.0
0.0,5.0,111.0,0.0
0.0,6.0,125.0,0.0
0.0,7.0,196.0,2.0
0.0,8.0,206.5,43.5
0.0,9.0,177.5,0.0
0.0,10.0,179.0,10.25
0.0,11.0,172.66666666666666,1.3333333333333333
0.0,12.0,156.0,2.0
0.0,13.0,166.33333333333334,-0.3333333333333333
0.0,14.0,392.0,2.5
0.0,15.0,167.0,-0.5
0.0,16.0,176.0,11.25
0.0,17.0,151.5,1.0
0.0,18.0,190.0,0.0
0.0,19.0,196.5,-0.5
0.0,20.0,1.0,1.0
0.0,21.0,130.0,3.0
0.0,22.0,1.0,1.0
0.0,23.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,2.0,75.0,0.0
1.0,3.0,74.0,1.0
1.0,4.0,1.0,1.0
1.0,5.0,87.0,5.0
1.0,6.0,1.0,1.0
1.0,7.0,164.0,1.0
1.0,8.0,145.0,1.0
1.0,9.0,148.5,15.5
1.0,10.0,144.5,2.5
1.0,11.0,143.0,7.5
1.0,12.0,149.0,1.0
1.0,13.0,122.0,3.0
1.0,14.0,1.0,1.0
1.0,15.0,144.5,5.75
1.0,16.0,170.0,1.0
1.0,17.0,170.0,12.0
1.0,18.0,201.0,1.0
1.0,19.0,1.0,1.0
1.0,20.0,208.0,23.0
1.0,21.0,1.0,1.0
1.0,22.0,1.0,1.0
1.0,23.0,1.0,1.0
2.0,0.0,110.0,3.0
2.0,1.0,1.0,1.0
2.0,2.0,69.0,4.0
2.0,3.0,1.0,1.0
2.0,4.0,1.0,1.0
2.0,5.0,1.0,1.0
2.0,6.0,1.0,1.0
2.0,7.0,1.0,1.0
2.0,8.0,160.0,6.5
2.0,9.0,1.0,1.0
2.0,10.0,1.0,1.0
2.0,11.0,161.0,11.0
2.0,12.0,1.0,1.0
2.0,13.0,608.0,1.5
2.0,14.0,1037.0,15.0
2.0,15.0,1.0,1.0
2.0,16.0,1.0,1.0
2.0,17.0,1.0,1.0
2.0,18.0,126.0,4.0
2.0,19.0,1.0,1.0
2.0,20.0,134.0,117.0
2.0,21.0,186.0,-0.5
2.0,22.0,125.0,0.3333333333333333
2.0,23.0,1.0,1.0
3.0,0.0,1.0,1.0
3.0,1.0,1.0,1.0
3.0,2.0,1.0,1.0
3.0,3.0,1.0,1.0
3.0,4.0,103.0,1.0
3.0,5.0,1.0,1.0
3.0,6.0,113.0,0.0
3.0,7.0,1.0,1.0
3.0,8.0,1.0,1.0
3.0,9.0,171.0,3.0
3.0,10.0,1.0,1.0
3.0,11.0,176.0,11.0
3.0,12.0,130.0,9.0
3.0,13.0,563.0,2.5
3.0,14.0,155.0,4.0
3.0,15.0,163.0,28.0
3.0,16.0,163.0,17.0
3.0,17.0,1.0,1.0
3.0,18.0,152.0,1.5
3.0,19.0,1.0,1.0
3.0,20.0,1.0,1.0
3.0,21.0,141.0,0.0
3.0,22.0,151.0,-1.0
3.0,23.0,1.0,1.0
4.0,0.0,1.0,1.0
4.0,1.0,1.0,1.0
4.0,2.0,1.0,1.0
4.0,3.0,105.0,28.0
4.0,4.0,1.0,1.0
4.0,5.0,144.0,0.0
4.0,6.0,129.0,0.0
4.0,7.0,1.0,1.0
4.0,8.0,153.0,14.0
4.0,9.0,1.0,1.0
4.0,10.0,1.0,1.0
4.0,11.0,163.6,4.2
4.0,12.0,164.0,1.0
4.0,13.0,1.0,1.0
4.0,14.0,1.0,1.0
4.0,15.0,138.0,3.5
4.0,16.0,1.0,1.0
4.0,17.0,1.0,1.0
4.0,18.0,1.0,1.0
4.0,19.0,1.0,1.0
4.0,20.0,171.0,62.0
4.0,21.0,1.0,1.0
4.0,22.0,127.0,1.5
4.0,23.0,1.0,1.0
5.0,0.0,107.0,11.0
5.0,1.0,128.0,1.0
5.0,2.0,1.0,1.0
5.0,3.0,1.0,1.0
5.0,4.0,1.0,1.0
5.0,5.0,1.0,1.0
5.0,6.0,115.0,1.0
5.0,7.0,144.0,0.0
5.0,8.0,1.0,1.0
5.0,9.0,165.0,17.0
5.0,10.0,165.0,24.0
5.0,11.0,174.0,-1.0
5.0,12.0,1.0,1.0
5.0,13.0,164.0,5.0
5.0,14.0,166.5,-0.5
5.0,15.0,1.0,1.0
5.0,16.0,1.0,1.0
5.0,17.0,128.0,9.0
5.0,18.0,1.0,1.0
5.0,19.0,156.0,0.0
5.0,20.0,178.0,7.0
5.0,21.0,142.0,12.0
5.0,22.0,142.0,1.0
5.0,23.0,1.0,1.0
6.0,0.0,1.0,1.0
6.0,1.0,1.0,1.0
6.0,2.0,1.0,1.0
6.0,3.0,1.0,1.0
6.0,4.0,1.0,1.0
6.0,5.0,1.0,1.0
6.0,6.0,1.0,1.0
6.0,7.0,1.0,1.0
6.0,8.0,1.0,1.0
6.0,9.0,147.0,7.0
6.0,10.0,1.0,1.0
6.0,11.0,189.0,20.0
6.0,12.0,1.0,1.0
6.0,13.0,169.0,25.0
6.0,14.0,1.0,1.0
6.0,15.0,148.0,1.5
6.0,16.0,170.0,2.0
6.0,17.0,170.0,33.666666666666664
6.0,18.0,190.0,1.0
6.0,19.0,1.0,1.0
6.0,20.0,186.0,-1.0
6.0,21.0,1.0,1.0
6.0,22.0,155.0,0.6666666666666666
6.0,23.0,1.0,1.0
