hour,day,num_users,karma_dif,post_ID
12,6,619,2,88t0x4
12,6,619,0,88sx6g
13,6,537,-1,88tgwn
13,6,537,181,88t996
15,6,781,5,88u1cd
14,6,781,21,88tob7
23,6,303,2,88x30v
1,0,315,22,88xoiz
5,0,374,0,88yi03
6,0,396,-1,88ytuc
8,0,428,43,88ziz1
9,0,436,4,890ann
10,0,474,-1,890n8i
10,0,474,5,890kep
12,0,463,23,892ydo
12,0,463,4,892xog
13,0,489,1,894349
16,0,436,0,895rua
17,0,486,73,8966bk
16,0,486,0,89601p
18,0,587,0,896st7
20,0,493,9,897v3k
21,0,455,-2,898vjd
23,0,349,36,89a0ir
2,1,291,18,89bhy5
5,1,376,-1,89cpwq
6,1,454,62,89d5f0
8,1,529,5,89e8er
7,1,529,14,89dugf
9,1,475,6,89eqbj
9,1,475,1,89eo2n
8,1,475,5,89ekxe
10,1,494,4,89fcfx
9,1,494,6,89f4go
10,1,446,0,89fvn6
12,1,434,0,89gn2q
13,1,447,4,89higl
15,1,486,4,89il0e
14,1,486,3,89ij1g
14,1,486,74,89ifke
15,1,1495,0,89j5cc
15,1,1495,2,89itvd
17,1,535,64,89jsw4
16,1,535,0,89jkkw
18,1,447,0,89kdxe
18,1,561,1,89ko93
20,1,466,2,89lgbp
22,1,367,13,89mall
4,2,329,54,89o7c6
6,2,442,6,89p0ro
10,2,468,2,89qxw6
9,2,468,-1,89qg6x
10,2,410,3,89r6mf
10,2,410,100,89r0f9
12,2,462,-1,89rzko
14,2,462,16,89tf7z
14,2,462,-1,89takt
15,2,404,-1,89txk4
15,2,404,0,89txa7
17,2,410,-1,89unef
18,2,422,0,89uzow
17,2,422,1,89uw2k
19,2,438,4,89vfol
18,2,438,22,89vc7v
20,2,391,1,89vv4t
21,2,398,3,89wdfk
20,2,398,3,89w0ve
21,2,307,20,89wfz2
0,3,271,27,89xj8i
6,3,396,70,89zcg9
8,3,399,1,8a00ck
7,3,399,10,89zruw
9,3,425,1,8a0gq6
8,3,425,3,8a0eon
10,3,452,2,8a147a
10,3,401,-1,8a1dar
10,3,401,0,8a18tg
10,3,401,12,8a18kq
11,3,379,0,8a1qxh
12,3,365,2,8a27p3
15,3,425,14,8a3r4h
20,3,372,6,8a61sh
20,3,372,48,8a5yld
22,3,399,5,8a6nb2
23,3,239,36,8a70j4
22,3,239,1,8a6p6v
1,4,303,3,8a7l5g
0,4,303,4,8a7f30
1,4,295,-2,8a7ngo
2,4,334,16,8a7yd3
3,4,292,0,8a84y9
3,4,292,0,8a84x4
7,4,376,4,8a9g5r
9,4,465,2,8aads8
8,4,465,-1,8aa2jk
10,4,493,4,8aawoi
9,4,493,13,8aaoa3
9,4,493,3,8aakaj
9,4,493,79,8aagsn
11,4,433,1,8abbm8
12,4,504,5,8aboie
11,4,504,56,8abh19
13,4,471,0,8ac5td
16,4,497,0,8adw3f
19,4,509,0,8aes9q
20,4,392,23,8af8zz
22,4,365,0,8afqm8
23,4,273,0,8afyd1
22,4,273,15,8aftyq
0,5,342,8,8agci0
0,5,255,8,8agd3q
1,5,358,-1,8aglra
3,5,336,19,8ah00i
8,5,511,0,8aidz5
10,5,466,14,8aj588
11,5,642,107,8ajhj7
11,5,642,0,8ajgj5
11,5,642,-1,8ajfg4
11,5,642,13,8ajezr
12,5,565,0,8ajvmq
13,5,634,1,8akge1
13,5,634,-1,8akddx
12,5,634,22,8ak817
14,5,610,0,8aksqf
14,5,610,-1,8akq6j
15,5,646,0,8al2d2
14,5,646,5,8akvne
16,5,658,-1,8alle1
16,5,658,-2,8alha5
15,5,658,-1,8ald8o
17,5,644,-1,8alztv
18,5,572,-2,8am8x6
20,5,550,3,8an9mk
23,5,399,11,8anysd
2,6,394,39,8aongx
4,6,376,12,8ap4rh
6,6,532,8,8apnug
8,6,599,-2,8aq4gc
9,6,613,2,8aqknc
9,6,613,3,8aqjzq
9,6,785,72,8aqp22
11,6,600,-1,8arhpr
11,6,600,15,8arfhd
11,6,1065,-1,8arkdo
14,6,673,12,8asrcs
14,6,673,0,8asmyv
15,6,717,10,8at7hi
16,6,665,0,8atnyh
16,6,665,0,8atj66
15,6,665,-1,8atdmr
15,6,665,26,8atagj
17,6,698,49,8atyzp
16,6,698,6,8attbn
18,6,610,-1,8aue07
17,6,610,2,8au77o
18,6,573,1,8aujg7
20,6,636,2,8av1bv
21,6,436,6,8avn41
23,6,374,2,8aw7hh
3,0,320,5,8ax2cs
7,0,454,23,8aydla
7,0,500,82,8ayi0e
10,0,456,0,8azuru
12,0,485,0,8b0q30
12,0,485,-1,8b0o9c
13,0,517,-1,8b19o8
13,0,517,11,8b140y
12,0,517,13,8b0ww3
14,0,502,-1,8b1obt
13,0,502,1,8b1eab
13,0,502,1,8b1c5z
13,0,502,0,8b1bjt
14,0,505,-1,8b1vqk
16,0,526,29,8b2p6i
17,0,583,1,8b31so
17,0,583,-1,8b2vb4
17,0,572,0,8b38o7
18,0,574,-1,8b3kom
